DATA;DESCRIÇÃO BRUTA;VALOR;CATEGORIA;SubCategoria;PAGAMENTO;MÊS; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
#REF!;Celular;"R$ 120,00";CUSTOS FIXOS;TELEFONE;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;Energia;"R$ 200,00";CUSTOS FIXOS;HABITAÇÃO;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;MARICÁ GARDEN ENTRADA;"R$ 1.500,00";METAS;CASAMENTO;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;Internet;"R$ 120,00";CUSTOS FIXOS;HABITAÇÃO;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;Endócrino;"R$ 500,00";PRAZERES;SAUDE: CONSULTAS;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;Dízimo;"R$ 2.100,00";CUSTOS FIXOS;DÍZIMO;PIX;AGOSTO;;ASSINATURA;;;;;;;;;;;;;;;;
#REF!;Compras Thiago;"R$ 600,00";CUSTOS FIXOS;HABITAÇÃO;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;Appai;"R$ 310,00";CUSTOS FIXOS;SAUDE: ASSINATURA;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;Terapia;"R$ 350,00";CUSTOS FIXOS;SAUDE: CONSULTAS;PIX;AGOSTO;;;;;;;;;;;;;;;;;;
#REF!;PG *YOU YOUROBERT 07/12;"R$ 155,18";CONHECIMENTO;EDUCAÇÃO;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;MP*13PRODUTOS 09/10;"R$ 76,52";METAS;OBRAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;MP*13PRODUTOS 09/10;"R$ 578,05";PRAZERES;LAZER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;ENCARGOS DE ATRASO;"R$ 5,01";CUSTOS FIXOS;TAXAS;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;DELL 09/12;"R$ 493,25";PRAZERES;LAZER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Celular;"R$ 120,00";CUSTOS FIXOS;TELEFONE;PIX;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 5,85";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 5,85";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 6,71";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 9,97";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 9,98";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 12,94";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
#REF!;Uber *uber *trip;"R$ 20,51";CONFORTO;TRANSPORTE: UBER;CARTÃO DE CREDITO;SETEMBRO;;;;;;;;;;;;;;;;;;
