data,descricao,valor,tags,subcategoria,categoria
,1000 OPÇÕES,18.39,custos fixos,FERRAMENTAS,Moradia
,1000 Opcoes,37.96,custos fixos,FERRAMENTAS,Moradia
,1000 Opcoes - Parcela 1/2,32.0,custos fixos,FERRAMENTAS,Moradia
,1000 Opcoes - Parcela 2/2,44.98,custos fixos,FERRAMENTAS,Moradia
,1000 Opcoes - Parcela 3/3,33.64,custos fixos,HABITAÇÃO,Moradia
,215 - Rj Niteroi Plaza - Parcela 2/2,49.95,conforto,ROUPAS,Moradia
,215 - Rj Niteroi Plaza - Parcela 2/3,39.96,conforto,ROUPAS,Moradia
,215 - Rj Niteroi Plaza - Parcela 3/3,39.96,conforto,ROUPAS,Moradia
,28544988renatade,14.0,categorizar,DESCONHECIDO,Outros
,36768889 Bruno Henriqu,124.3,categorizar,DESCONHECIDO,Outros
,49780392caroline,12.0,categorizar,DESCONHECIDO,Outros
,49780392caroline,10.0,categorizar,DESCONHECIDO,Outros
,50475484fabianade,69.9,categorizar,DESCONHECIDO,Outros
,A P C Dutra Mundo Do,30.0,prazeres,RESTAURANTE: LANCHE,Lazer
,A Sua Farmacia E Voc,6.49,categorizar,DESCONHECIDO,Outros
,AJUSTE FATURA,238.28,conforto,CARTÃO DE CREDITO,Moradia
,AJUSTE FATURA,1420.0,categorizar,CARTÃO DE CREDITO,Outros
,ANTONIO CARLOS DE OLI,31.7,categorizar,DESCONHECIDO,Outros
,Abbraccio Niteroi,91.61,prazeres,RESTAURANTE,Lazer
,Abbraccio Niteroi,91.62,prazeres,RESTAURANTE,Lazer
,Abreu E Gutierres Baz,8.99,categorizar,DESCONHECIDO,Outros
,Ac Padaria,26.07,custos fixos,ALIMENTAÇÃO,Alimentação
,Academia Mãe,120.0,prazeres,DOAÇÃO,Lazer
,Adaltoalves - Parcela 1/2,70.0,categorizar,DESCONHECIDO,Outros
,Adaltoalves - Parcela 2/2,70.0,categorizar,DESCONHECIDO,Outros
,Ahoradogelo,30.0,conforto,RESTAURANTE: DIA A DIA,Lazer
,Ahoradogelo,23.0,conforto,RESTAURANTE: DIA A DIA,Lazer
,Ajuste,130.18,categorizar,CARTÃO DE CREDITO,Outros
,Ajuste Fatura,3102.0,categorizar,CARTÃO DE CREDITO,Outros
,Ajuste Fatura,171.76,categorizar,DESCONHECIDO,Outros
,Ajuste Saldo,147.0,categorizar,DESCONHECIDO,Outros
,Ajuste de Fatura,339.71,categorizar,DESCONHECIDO,Outros
,Ajuste de fatura temporário,1887.24,categorizar,CARTÃO DE CREDITO,Outros
,Ajuste fatura nubank,1100.0,categorizar,CARTÃO DE CREDITO,Outros
,Aleixo Bar Restauran,156.93,prazeres,RESTAURANTE,Lazer
,Aleixo Bar Restauran1,293.15,prazeres,RESTAURANTE,Lazer
,Aleixo Bar Restauran2,143.55,prazeres,RESTAURANTE,Lazer
,Aleixo Bar Restauran3,6.72,prazeres,RESTAURANTE,Lazer
,Aleixo Bar Restaurante,231.44,prazeres,RESTAURANTE,Lazer
,Alimentação,1200.0,custos fixos,ALIMENTAÇÃO,Alimentação
,Amalfi,25.0,prazeres,VIAGEM,Lazer
,Amazon,23.49,categorizar,DESCONHECIDO,Outros
,Amazon Aws Servicos Br,45.36,custos fixos,FERRAMENTAS,Moradia
,Amazon Aws Servicos Br,45.44,custos fixos,FERRAMENTAS,Moradia
,Amazon Br,40.39,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br,152.91,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br,139.41,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br,42.59,prazeres,SUPLEMENTAÇÃO,Lazer
,Amazon Br,24.54,prazeres,ALIMENTAÇÃO,Alimentação
,Amazon Br,47.09,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br,53.91,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br,44.05,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br,100.0,prazeres,SUPLEMENTAÇÃO,Lazer
,Amazon Br,56.09,prazeres,SUPLEMENTAÇÃO,Lazer
,Amazon Br,30.64,conhecimento,EDUCAÇÃO,Educação
,Amazon Br1,39.2,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br1,79.99,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br2,152.91,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br2,31.44,conhecimento,EDUCAÇÃO,Educação
,Amazon Br3,37.54,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Br3,31.17,custos fixos,ALIMENTAÇÃO,Alimentação
,Amazon Br4,24.54,custos fixos,ALIMENTAÇÃO,Alimentação
,Amazon Br5,170.1,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Digital,23.65,categorizar,DESCONHECIDO,Outros
,Amazon Marketplace,53.9,categorizar,DESCONHECIDO,Outros
,Amazon Marketplace,37.58,categorizar,DESCONHECIDO,Outros
,Amazon Marketplace,90.9,custos fixos,HABITAÇÃO,Moradia
,Amazon Marketplace,109.0,custos fixos,SUPLEMENTAÇÃO,Alimentação
,Amazon Marketplace,129.98,prazeres,SUPLEMENTAÇÃO,Lazer
